Question                                                                                                                                                     ,Choix 1 (Correcte),Choix 2                ,Choix 3                 ,Choix 4    ,Choix 5       ,Choix 6  ,Choix 7,Choix 8,Choix 9   ,Choix 10,Choix 11,Choix 12,Choix 13,Choix 14,Choix 15,Choix 16,Choix 17,Choix 18,Choix 19,Choix 20
Quel être vivant possède 3 coeurs?                                                                                                                           ,Pieuvre           ,Poulpe                 ,Humain                  ,Giraphe    ,Eléphant      ,Cactus   ,Chat   ,Crabe  ,Méduse    ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Quel est le dernier le pays étranger que <@!170119951498084352> `Rak` a visité?                                                                              ,Thaïlande         ,Phillipines            ,Algérie                 ,Tunisie    ,Belgique      ,Suisse   ,Italie ,Espagne,Angleterre,USA     ,Canada  ,        ,        ,        ,        ,        ,        ,        ,        ,
Combien d'<@&438631334642974720> `Artiste` y a t-il sur le serveur?                                                                                          ,16                ,15                     ,14                      ,13         ,12            ,11       ,10     ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Lequel de ces nombres est premier?                                                                                                                           ,13                ,25                     ,33                      ,32         ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Comment s'appellent les habitants de Pau?                                                                                                                    ,Les Palois        ,Les Palusiens          ,Les Palions             ,Les Paliens,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Quelle taille fait Léo?                                                                                                                                      ,172               ,170                    ,168                     ,166        ,174           ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Dans environ combien de temps allez vous souhaiter un bon anniversaire à Léo?                                                                                ,5 mois            ,3 mois                 ,1 mois                  ,7 mois     ,9 mois        ,11 mois  ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Quel est le nom du cri du daim?                                                                                                                              ,Brame             ,Stridule               ,Croasse                 ,Chante     ,Roucoule      ,Jappe    ,Hue    ,Rugit  ,Piaille   ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
De quel animal la copine de <@!170119951498084352> `Rak` a le plus peur?                                                                                     ,Lézard            ,Rat                    ,Araignée                ,Serpent    ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Léo a t-il déjà possédé une Playstation?                                                                                                                     ,Non               ,Oui                    ,                        ,           ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Combien de jours d'anniversaires a une personne qui a vécu 50 ans ?                                                                                          ,49                ,50                     ,1                       ,0          ,25            ,51       ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Il y a 10 prunes. Vous en prenez 4. Combien en avez-vous ?                                                                                                   ,4                 ,10                     ,6                       ,5          ,0             ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Un nénuphar sur un étang double de taille chaque jour. Au bout de 100 jours il recouvre entièrement l'étang. En combien de jours en recouvre-t-il la moitié ?,99                ,100                    ,50                      ,2          ,1             ,25       ,49     ,48     ,51        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Quel est le nom du poisson clown dans `Le monde de nemo`?                                                                                                    ,Malrin            ,Dory                   ,Gill                    ,Nemo       ,Bubbles       ,Jacques  ,Nigel  ,Bruce  ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Quel est le plus grand?                                                                                                                                      ,La Tour Eiffel    ,La Statue de la Liberté,                        ,           ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Quel doigt a l'ongle qui pousse le plus vite?                                                                                                                ,Majeur            ,Index                  ,Pouce                   ,Annulaire  ,Auriculaire   ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Combien y a t-il de groupes sanguins?                                                                                                                        ,4                 ,8                      ,2                       ,1          ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Combien de litre de sang un comps adulte contient?                                                                                                           ,5                 ,4                      ,3                       ,6          ,7             ,8        ,9      ,10     ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Pensez vous faire un sans faute?                                                                                                                             ,Non               ,Oui                    ,                        ,           ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Combien d'exams <@!170119951498084352> `Rak` a la semaine prochaine?                                                                                         ,6                 ,5                      ,4                       ,3          ,2             ,1        ,0      ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Léo a t-il déjà reçu des articles de la vidéo `On change le décors`?                                                                                         ,Oui               ,Non                    ,                        ,           ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Combien de personnes y a t'il sur le serveur?                                                                                                                ,1300-1400         ,1000-1100              ,1100-1200               ,1200-1300  ,900-1000      ,1400-1500,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Dans une semaine nous serons le?                                                                                                                             ,3 juin            ,2 juin                 ,1 juin                  ,4 juin     ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Combien de poissons vivant Léo a t-il?                                                                                                                       ,2                 ,3                      ,1                       ,4          ,5             ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Léo est?                                                                                                                                                     ,Concave           ,Convexe                ,Droit                   ,           ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Une intégrale réprésente?                                                                                                                                    ,Une aire          ,Une division           ,Des figures géométriques,           ,              ,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Si l'on se voit dans 2.5h et qu'il est 19h à quelle heure avont nous rendez-vous?                                                                            ,21:30             ,21:50                  ,22:50                   ,20:50      ,21:00         ,20:30    ,22:30  ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
Quel playliste n'existe pas sur la chaine de Léo?                                                                                                            ,COUP DE GEULE     ,IRL                    ,KESKE                   ,Annonce    ,CLIP THAT BABY,         ,       ,       ,          ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
